"event","data"
"fixation","1.9073486328125e-06"
"milkshake","10.022053003311157"
"rate_milkshake","20.050293922424316"
"rating","1"
"taste_delivery","45.12072801589966"
"swallow","55.148788928985596"
"taste_delivery","57.15445399284363"
"swallow","67.18253588676453"
"taste_delivery","69.1877498626709"
"swallow","79.21631789207458"
"taste_delivery","81.2213819026947"
"swallow","91.24949097633362"
"fixation","93.25567698478699"
"milkshake","113.31145000457764"
"rate_milkshake","123.33990097045898"
"rating","4"
"administer_crave_crush","128.36117482185364"
"wait_for_dissolve","188.3735818862915"
"fixation","368.3754849433899"
"milkshake","368.83000588417053"
"rate_milkshake","369.2465629577637"
"rating","-1"
"taste_delivery","370.96044993400574"
"swallow","371.4345829486847"
"taste_delivery","371.53813195228577"
"swallow","372.03581190109253"
"taste_delivery","372.1323788166046"
"swallow","372.6345658302307"
"taste_delivery","372.72204780578613"
"swallow","373.16576385498047"
"fixation","373.2567479610443"
"milkshake","374.1795539855957"
"rate_milkshake","374.72612595558167"
"rating","-1"
